x_osa,y_osa,x_tacka,y_tacka
283.2,319.73333333333335,960,40
282.4,319.3333333333333,960,40
281.4,318.93333333333334,960,40
281.4,318.8,960,40
281.4,318.93333333333334,960,40
281.8,318.8,960,40
282.0,318.53333333333336,960,40
282.2,318.53333333333336,960,40
281.0,318.4,960,40
282.8,319.06666666666666,960,40
284.6,320.0,960,40
285.4,320.26666666666665,960,40
285.6,320.26666666666665,960,40
286.4,320.4,960,40
286.8,321.2,960,40
286.8,321.46666666666664,960,40
288.2,322.4,960,40
288.8,323.3333333333333,960,40
289.2,323.2,960,40
288.4,323.06666666666666,960,40
287.0,322.8,960,40
287.0,322.93333333333334,960,40
287.0,322.53333333333336,960,40
286.6,323.06666666666666,960,40
286.6,322.8,960,40
287.0,322.53333333333336,960,40
285.6,322.26666666666665,960,40
284.2,322.1333333333333,960,40
283.6,321.06666666666666,960,40
283.0,320.1333333333333,960,40
283.0,319.8666666666667,960,40
282.2,318.93333333333334,960,40
282.4,318.0,960,40
282.6,318.4,960,40
282.4,318.8,960,40
282.8,319.6,960,40
284.4,320.26666666666665,960,40
285.4,320.53333333333336,960,40
286.2,320.0,960,40
287.4,319.8666666666667,40,250
287.4,319.2,40,250
287.6,319.2,40,250
288.2,319.3333333333333,40,250
287.6,319.6,40,250
287.8,320.4,40,250
288.4,320.6666666666667,40,250
291.6,321.46666666666664,40,250
295.4,322.26666666666665,40,250
299.6,322.93333333333334,40,250
303.4,323.6,40,250
308.4,323.8666666666667,40,250
313.4,324.1333333333333,40,250
322.2,326.0,40,250
325.8,326.93333333333334,40,250
329.6,327.3333333333333,40,250
332.6,328.4,40,250
333.2,329.6,40,250
333.8,330.53333333333336,40,250
334.0,331.46666666666664,40,250
334.0,331.8666666666667,40,250
334.2,332.6666666666667,40,250
333.8,332.93333333333334,40,250
329.0,333.2,40,250
329.4,333.06666666666666,40,250
329.2,332.8,40,250
328.8,332.93333333333334,40,250
328.4,332.93333333333334,40,250
328.0,332.0,40,250
327.6,331.8666666666667,40,250
327.6,332.0,40,250
327.2,332.0,40,250
327.4,332.0,40,250
327.6,332.0,40,250
327.8,332.0,40,250
328.0,332.0,40,250
328.2,331.8666666666667,40,250
328.0,332.0,40,250
327.8,332.1333333333333,40,250
327.6,332.1333333333333,40,250
327.2,332.0,40,250
327.4,331.73333333333335,40,250
327.2,331.8666666666667,40,250
327.4,332.1333333333333,40,250
327.0,332.53333333333336,40,250
328.2,332.8,40,250
328.0,332.93333333333334,40,250
328.0,332.93333333333334,40,250
332.0,332.93333333333334,40,250
332.4,332.8,40,250
332.4,332.93333333333334,40,250
332.0,333.06666666666666,40,250
332.2,332.8,40,250
331.4,332.93333333333334,40,250
331.2,333.2,40,250
329.6,333.73333333333335,40,250
329.4,334.1333333333333,40,250
329.8,334.1333333333333,40,250
329.2,334.0,40,250
328.8,333.73333333333335,40,250
328.4,333.6,40,250
328.0,333.6,40,250
327.4,333.6,40,250
328.0,333.46666666666664,40,250
328.2,333.73333333333335,40,250
332.4,333.6,40,250
336.6,333.6,40,250
340.2,333.73333333333335,40,250
336.2,333.46666666666664,40,250
336.0,333.06666666666666,40,250
336.0,332.93333333333334,40,250
335.8,332.8,40,250
335.6,332.8,40,250
335.4,332.53333333333336,40,250
335.6,332.4,40,250
331.2,332.1333333333333,40,250
326.8,331.8666666666667,40,250
322.4,331.6,40,250
322.8,331.6,40,250
323.2,331.3333333333333,40,250
323.2,330.93333333333334,40,250
323.6,331.06666666666666,40,250
324.0,331.2,40,250
323.4,331.06666666666666,40,250
322.8,331.06666666666666,40,250
327.0,331.06666666666666,40,250
331.4,331.06666666666666,40,250
332.0,330.8,40,250
332.2,330.93333333333334,40,250
332.0,331.06666666666666,40,250
332.0,331.2,40,250
331.8,331.3333333333333,40,250
331.6,331.6,40,250
332.2,331.73333333333335,40,250
332.6,331.8666666666667,40,250
328.6,332.26666666666665,40,250
324.4,332.1333333333333,40,250
323.8,331.8666666666667,40,250
323.6,332.0,40,250
323.4,332.1333333333333,40,250
323.2,332.1333333333333,40,250
323.4,331.73333333333335,40,250
327.6,331.8666666666667,40,250
331.4,331.8666666666667,40,250
331.2,331.8666666666667,40,250
330.6,331.8666666666667,40,250
330.2,332.0,40,250
330.0,331.8666666666667,40,250
329.6,332.0,40,250
329.2,332.1333333333333,40,250
329.6,331.8666666666667,40,250
329.4,331.8666666666667,40,250
325.8,331.73333333333335,40,250
321.8,331.46666666666664,40,250
322.0,331.3333333333333,40,250
322.2,331.2,40,250
322.0,331.6,40,250
322.0,331.6,40,250
321.8,331.6,40,250
321.6,331.6,40,250
321.0,331.73333333333335,500,250
321.0,331.46666666666664,500,250
320.0,331.3333333333333,500,250
319.8,331.3333333333333,500,250
324.0,331.3333333333333,500,250
324.4,331.46666666666664,500,250
326.2,331.6,500,250
328.2,332.1333333333333,500,250
330.4,332.6666666666667,500,250
332.0,333.06666666666666,500,250
333.6,333.3333333333333,500,250
334.4,333.2,500,250
335.4,333.06666666666666,500,250
336.8,333.06666666666666,500,250
333.6,333.2,500,250
335.0,333.06666666666666,500,250
335.2,333.2,500,250
334.8,333.6,500,250
334.4,333.73333333333335,500,250
330.2,333.6,500,250
330.6,333.6,500,250
331.2,333.6,500,250
331.8,333.6,500,250
331.0,333.06666666666666,500,250
331.0,332.93333333333334,500,250
330.6,332.6666666666667,500,250
330.2,332.6666666666667,500,250
